Posición;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
115383;877413;511.227;745.464
230766;1.68502e+06;621.474;1062.47
346149;2.50561e+06;624.863;1231.5
461532;3.37241e+06;699.542;1311.5
576915;4.21043e+06;623.169;1482.73
692298;5.03158e+06;1559.35;1349.57
807681;6.03778e+06;1022;2028.56
923064;6.70543e+06;885.251;1784.93
1038447;7.57449e+06;961.87;1941.71
1153830;8.38751e+06;1012.02;2661.68
1269213;9.25714e+06;1051.01;2021.71
1384596;1.00753e+07;1068.06;1963.86
1499979;1.09354e+07;657.202;2031.08
