Tamaños;Tiempo_búsqueda_lineal;Tiempo_búsqueda_binaria;Tiempo_búsqueda_doblada
10000;71750.9;129.756;194.775
125000;923890;206.139;648.644
250000;1.82764e+06;273.451;744.677
375000;2.76651e+06;308.713;1399.56
500000;3.67772e+06;371.575;1211.58
625000;4.58231e+06;370.069;1986.1
750000;5.47844e+06;443.961;1691.84
850000;6.25213e+06;474.583;1952.42
1000000;7.35536e+06;705.786;2419.5
1125000;8.60614e+06;871.397;2482.69
1250000;9.14639e+06;715.254;2276.89
1375000;1.01127e+07;825.645;2401.79
1500000;1.0978e+07;794.127;2439.55
